date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:04	124/124	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:%22bc-6027865c5fd72-gzip%22	https://www.geeksforgeeks.org/robots.txt		(from )
12:15:05	300603/300603	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Apr%202024%2014:27:22%20GMT	https://www.geeksforgeeks.org/basic-input-and-output-in-c/	www.geeksforgeeks.org/basic-input-and-output-in-c/index.html	(from )
12:15:06	120593/120593	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Apr%202024%2014:28:48%20GMT	https://www.geeksforgeeks.org/basic-input-and-output-in-c/amp/	www.geeksforgeeks.org/basic-input-and-output-in-c/amp/index.html	(from https://www.geeksforgeeks.org/basic-input-and-output-in-c/)
12:15:07	199680/199680	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20May%202024%2009:15:05%20GMT	https://www.geeksforgeeks.org/basic-input-and-output-in-c/premium-plans/	www.geeksforgeeks.org/basic-input-and-output-in-c/premium-plans/index.html	(from https://www.geeksforgeeks.org/basic-input-and-output-in-c/)
12:15:07	200035/200035	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20May%202024%2009:15:05%20GMT	https://www.geeksforgeeks.org/basic-input-and-output-in-c/2056/2064/1967/	www.geeksforgeeks.org/basic-input-and-output-in-c/2056/2064/1967/index.html	(from https://www.geeksforgeeks.org/basic-input-and-output-in-c/)
12:15:07	199681/199681	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20May%202024%2009:15:05%20GMT	https://www.geeksforgeeks.org/basic-input-and-output-in-c/premium-plans-payment/	www.geeksforgeeks.org/basic-input-and-output-in-c/premium-plans-payment/index.html	(from https://www.geeksforgeeks.org/basic-input-and-output-in-c/)
12:15:08	300603/300603	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Apr%202024%2014:27:22%20GMT	https://www.geeksforgeeks.org/basic-input-and-output-in-c/?ref=shm	www.geeksforgeeks.org/basic-input-and-output-in-c/indexe91e.html	(from https://www.geeksforgeeks.org/basic-input-and-output-in-c/)
12:15:08	300603/300603	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Apr%202024%2014:27:22%20GMT	https://www.geeksforgeeks.org/basic-input-and-output-in-c/?ref=lbp	www.geeksforgeeks.org/basic-input-and-output-in-c/indexf5f3.html	(from https://www.geeksforgeeks.org/basic-input-and-output-in-c/)
